pid,consumption/0,consumption/1,consumption/2,consumption/3,consumption/4,consumption/5,consumption/6,consumption/7,consumption/8,consumption/9,consumption/10,consumption/11,consumption/12,consumption/13,consumption/14,consumption/15,consumption/16,consumption/17,consumption/18,consumption/19,consumption/20,consumption/21,consumption/22,consumption/23,consumption/24,consumption/25,consumption/26,consumption/27,consumption/28,consumption/29,consumption/30,consumption/31,consumption/32,consumption/33,consumption/34,consumption/35,consumption/36,consumption/37,consumption/38,consumption/39,consumption/40,consumption/41,consumption/42,consumption/43,consumption/44,consumption/45,consumption/46,consumption/47,consumption/48,consumption/49,consumption/50,consumption/51,consumption/52,consumption/53,consumption/54,consumption/55,consumption/56,consumption/57,consumption/58,consumption/59,consumption/60,consumption/61,consumption/62,consumption/63,consumption/64,consumption/65,consumption/66,consumption/67,consumption/68,consumption/69,consumption/70,consumption/71,consumption/72,consumption/73,consumption/74,consumption/75,consumption/76,consumption/77,consumption/78,consumption/79,consumption/80,consumption/81,consumption/82,consumption/83,consumption/84,consumption/85,consumption/86,consumption/87,consumption/88,consumption/89,consumption/90,consumption/91,consumption/92,consumption/93
27684,10319969,11495106,13478567,14730599,14219456,13668685,14729578,14512983,14233478,14643125,14138824,14685383,13703667,14275454,14470374,14560117,14149825,15017853,14517298,14839065,14040856,15733511,11875602,12537341,9927432,11387161,12111262,11089995,10716185,11637964,10299268,11648629,11888366,10698385,11687858,9490908,11948647,11899015,11344837,10332557,12302749,11283374,11380217,12540871,10404196,12046286,9962298,12975159,10394849,11324340,11351233,11305087,11103426,10536179,11330022,10495485,12949181,11284548,12126319,9748155,11518077,11702266,11247475,11922068,11731383,11206372,12891667,10270563,11377252,11294411,10644206,12049195,10382182,11475717,11125863,11457393,12136134,10257792,11474358,11097830,12030724,11190308,10340852,12050869,10346366,11929036,11249549,9802912,,,,,,
27847,11259795,13189439,15024137,13807310,13977485,14315126,14034077,14480995,14682420,14244752,13619092,14359461,14060023,14182928,14668288,14524652,14303206,14733367,14319241,14853395,13427057,14711791,13970106,11770278,11579067,10063832,11395038,10666234,11168883,11544042,10799250,10886920,11001751,10414451,11669106,11417525,10140530,12518012,11702936,10609181,11096487,11242654,10813712,9009835,10978869,11206900,11127948,11193795,10316829,10679621,10302086,11063292,10301065,11603826,9713918,10335787,11283781,10414698,10761769,10317835,9633706,11191983,10522597,10811251,10530585,10335350,11642654,9630792,9994923,11546175,10408790,11352030,10415739,10593255,12164802,9708763,13044818,10596173,9915240,11993765,11149131,11477544,11244382,10738031,11712995,10378167,12049048,11427746,10492196,,,,,
28006,10481364,12454001,15043401,13575148,14413069,14501814,13936765,14466131,14627144,14318139,14205388,14108736,14111817,14239409,14312700,15226292,14674622,14602501,14431909,14981857,10056142,11483083,11025949,11763525,10975755,11891814,9988066,11279190,10872872,10605391,10108482,11293403,11776314,10397254,10337777,11533926,9332271,12609346,11279420,11124940,11245924,10353553,11911095,10103694,11268340,11763040,10336304,11978177,10338711,11400354,10353340,11884982,11262943,11991630,10481046,11296042,12120631,10602265,12334480,10467196,11990885,10986326,9664052,10600479,11010503,10174513,11800582,10575868,11644579,10356586,12920062,10679991,10490846,12325292,11446790,11660442,11538895,10494463,12390730,11376928,12479821,9770633,12393889,,,,,,,,,,,
28162,12157967,13758024,15275333,14119465,14253169,14055826,14701248,14331919,14776380,13799839,13857334,15388104,14060436,14006401,14658366,14108628,14947023,13791963,15154791,14858967,14560629,14925309,14286800,14059469,11116360,11367420,11448511,10636779,11574734,11633471,11943926,11469351,10383325,12589675,11041568,10100948,12263338,9166827,11833663,11395825,10980776,11477771,12497831,10246820,10147612,10404999,12002137,11338570,12061850,10551722,12887366,10658350,11976658,9382879,11378998,12119188,10428301,12190470,11398997,11471685,10444083,12870697,10308151,9787399,11994519,12459452,11784089,11305819,10434715,11598278,11623706,12174578,11166903,10422205,11465221,12321717,10758170,10255008,11296104,12259990,10432207,11365948,11335183,10627226,12106548,11344350,10567425,12235887,11389890,10811017,12456465,9689160,12231725,11473019
28315,11114971,12663869,15055124,13728438,14345450,13422614,14510189,14453311,14520090,14341764,14659444,14605118,14234536,14438783,14448493,13696639,15150275,14434182,14101618,14282974,12078745,10826177,10720662,10262793,10530078,12191695,12291191,10778229,9582815,10226465,10716797,10796848,11425976,7911905,11424857,10322742,10221858,10245108,10986534,9547141,10108615,10240907,10916707,10337637,10425232,11136591,10423485,9525518,10507740,10245673,10435040,10598702,11368064,12714155,10536523,12056999,11205220,10656579,12143336,10310865,10734100,11362732,11452770,11344839,11197239,10378914,11756712,11460314,12211117,11368126,11279109,11767901,11655435,10491460,11876621,11366459,10537357,11607322,10572489,11402303,10322560,10029243,10581563,12439387,11357949,10560473,10838318,10485777,11467216,11726719,,,,
28480,10820256,14303940,14654211,13614971,13687047,14137160,13990642,14686813,14844129,14212689,14297946,14421746,14704793,13719516,14718108,14483999,15400414,14823655,14160256,11138708,12420604,10790532,11340004,11476925,11971433,10850727,10633461,11489880,9696474,10736002,11547145,10389707,10986380,11612066,10016415,11730504,9633785,11843928,12256927,11235890,10282575,11239774,11917491,11310520,10681765,11133666,11462792,12257995,11361290,11252615,10828588,11067559,11226237,11364058,11243651,11436594,11163102,10628312,11476149,10187053,10461865,9596100,10569737,11837764,8982352,10346639,11697962,10471934,12148167,10554189,10525970,11826590,11449727,11626365,10476956,11308975,11686386,10197490,10689698,10390201,9565618,10593722,10369900,11168141,11273804,,,,,,,,,
28636,10990781,11573046,15502728,13009015,15192651,13661192,14464764,14719563,14179211,14492465,14852539,14014204,14180613,14439749,15223320,14336191,14616774,14902010,12700747,10302051,10357248,11198568,8325155,10752675,12493825,10411097,11139261,11154151,10322860,10588464,11494641,10561179,11347847,12698685,10324939,10948352,10783197,10380772,10597561,12221366,11489342,10365516,11368380,11011064,12227149,11591187,10349546,11936782,10630694,10474591,12995696,11278536,9675460,12179009,11259065,12341172,11293453,10589409,12203332,11193547,10543123,11845727,10312044,12289069,10339429,11381807,11515555,12330900,10993698,11286319,12326193,11572909,10421116,12217560,12322315,10336131,11665689,11196215,11239924,10986295,11183498,12262492,10562004,,,,,,,,,,,
28799,12292647,13443820,15019185,13502982,14714725,14277609,14229873,14280070,14262853,14744136,14441581,14098508,14320667,14248484,13925629,14709402,14346183,14867179,14708260,12549028,11308733,13812675,11730662,10333632,11746273,12224252,12684643,10855937,10799940,9892699,12506185,11104075,10111146,11740282,11702167,8997985,11962970,12520570,10304645,11893300,10535654,11989768,11249253,10655864,11198507,10312816,12821376,9578595,12231998,11175704,11920800,9652524,11200048,12535845,9583163,12215298,11159388,9672686,12038476,10601420,11592596,12308564,12005301,10459070,10414345,11461406,10339602,12974890,9920070,11289661,11254647,12056487,11267284,11479631,10534781,11195325,11514062,10449060,11473777,11341077,11179789,12297397,10316458,11355155,12971164,10530612,,,,,,,,
28962,10886435,13726174,14995079,14411778,14116094,14389777,13366817,14824630,14402453,14603010,14582040,14405457,14980948,13963575,14133029,14643368,14793466,14423445,14161762,14316472,15185140,15087224,13466091,10685236,10970019,10022676,10503752,13383811,10833970,11720406,11160732,10892900,11521217,11160218,10136840,10912571,12461554,10414084,11335696,10376762,11226880,12645363,9641506,11881423,11153240,12050004,10298160,11923078,10402356,11186095,11197741,10518221,11969231,10515662,10774942,11141180,12053135,11105903,10389673,11253173,10645860,10892670,13402635,10334292,11937032,10434787,11966823,11163122,10441922,12140571,10303645,12852480,9578164,10522441,11517132,11253447,12211833,9376965,10407049,11443418,11341770,12105258,9659937,11321306,11448905,11282030,12170405,,,,,,,
29123,11671309,13113663,14918540,13826400,14651277,14310137,14059553,14690500,14471087,14836549,13494382,15286027,14913384,14341195,13738069,14806573,11634840,13099629,10753797,10632042,11194655,11687092,12057777,12083298,10789524,10244737,10071975,11538839,11188206,11383514,10504260,11050750,10289348,11733933,10389445,11868739,11337071,11160365,11219611,10322307,11291871,12013027,11365977,13797452,10566137,10703216,11461077,12990670,10270888,9651755,12744319,10389942,12884641,10396783,12037790,11330339,12914854,10430271,11258703,12742881,11283506,11569913,10621219,10503515,12250688,10529942,13083590,10524823,11450326,10532881,12322831,11336220,10546782,12210768,10413483,11366936,12208035,10520140,12220289,10396167,11249419,12248882,,,,,,,,,,,,
